,Quarter,Time,Tm,Detail,NOR,SDG
0,1.0,9:50,Chargers,Antonio Gates 12 yard pass from Drew Brees (Nate Kaeding kick),0,7
1,1.0,5:29,Chargers,LaDainian Tomlinson 1 yard rush (Nate Kaeding kick),0,14
2,2.0,13:02,Chargers,Nate Kaeding 40 yard field goal,0,17
3,2.0,8:12,Saints,Deuce McAllister 2 yard rush (John Carney kick),7,17
4,2.0,3:16,Chargers,Nate Kaeding 27 yard field goal,7,20
5,3.0,8:36,Chargers,"Safety,",7,22
6,3.0,3:15,Chargers,Antonio Gates 7 yard pass from Drew Brees (Nate Kaeding kick),7,29
7,3.0,2:04,Chargers,Antonio Gates 2 yard pass from Drew Brees (Nate Kaeding kick),7,36
8,4.0,13:53,Saints,John Carney 37 yard field goal,10,36
9,4.0,7:06,Chargers,Kassim Osgood 12 yard pass from Drew Brees (Nate Kaeding kick),10,43
10,4.0,4:04,Saints,Boo Williams 6 yard pass from Aaron Brooks (John Carney kick),17,43
